HRU,id_DGA,IceInit_mm
1,,0
2,CL105703011A,7.64E+04
3,CL105703011A,7.64E+04
4,,0
5,CL105703011A,7.64E+04
6,,0
7,CL105703010,1.25E+05
8,,0
9,,0
10,,0
11,CL105703010,1.25E+05
12,,0
13,,0
14,CL105703153,5.90E+04
15,,0
16,,0
17,,0
18,CL105703010,1.25E+05
19,CL105703010,1.25E+05
20,CL105703010,1.25E+05
21,CL105703010,1.25E+05
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,CL105703105,2.39E+04
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,CL105703009,5.53E+04
44,,0
45,,0
46,,0
47,,0
48,,0